;IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
3407;IND01G05;Број живорођених;0;2019;70505;Димитровград;66;7/13/2020 2:47:40 PM;7/13/2020 2:47:40 PM;A;Републички завод за статистику (РЗС)
3408;IND01G07;Степен развијености ЈЛС према Закону о регионалном развоју;0;2014;70505;Димитровград;IV група;2/10/2017 8:48:45 AM;2/10/2017 8:48:45 AM;A;Министарство привреде
3409;IND01G08;Степен развијености е-управе;0;2015;70505;Димитровград;0.35516981047885;6/15/2017 1:26:49 PM;6/15/2017 1:26:49 PM;A;Канцеларија за информационе технологије и електронску управу (ИТЕ)
3410;IND01G10;Укупна дужина водоводне мреже;0;2017;70505;Димитровград;55;4/4/2019 11:17:56 AM;4/4/2019 11:17:56 AM;A;Републички завод за статистику (РЗС)
3411;IND01G1001;Број становника према Попису 2011;0;2011;70505;Димитровград;10118;2/10/2017 9:32:24 AM;2/10/2017 9:32:24 AM;A;Републички завод за статистику (РЗС)
3412;IND01G1002;Број домаћинстава према Попису 2011;0;2011;70505;Димитровград;3952;2/10/2017 9:20:42 AM;4/12/2017 1:01:02 PM;A;Републички завод за статистику (РЗС)
3413;IND01G11;Укупна дужина канализационе мреже;0;2017;70505;Димитровград;45;4/4/2019 12:04:39 PM;4/4/2019 2:34:50 PM;A;Републички завод за статистику (РЗС)
3414;IND02G01;Број великих предузећа ;0;2017;70505;Димитровград;0;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3415;IND02G02;Број средњих предузећа ;0;2017;70505;Димитровград;0;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3416;IND02G03;Број малих предузећа ;0;2017;70505;Димитровград;6;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3417;IND02G04;Број микро предузећа;0;2017;70505;Димитровград;110;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3418;IND02G05;Број без ознаке за величину;0;2017;70505;Димитровград;26;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3419;IND02M01;Број активних привредних друштава;5;2021;70505;Димитровград;120;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3420;IND02M02;Број активних привредних друштава по NACE Rev.2  (сектор A);5;2021;70505;Димитровград;9;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3421;IND02M03;Број активних привредних друштава по NACE Rev.2  (сектор B);5;2021;70505;Димитровград;1;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3422;IND02M04;Број активних привредних друштава по NACE Rev.2  (сектор C);5;2021;70505;Димитровград;17;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3423;IND02M05;Број активних привредних друштава по NACE Rev.2  (сектор D);5;2021;70505;Димитровград;3;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3424;IND02M06;Број активних привредних друштава по NACE Rev.2  (сектор E);5;2021;70505;Димитровград;2;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3425;IND02M07;Број активних привредних друштава по NACE Rev.2  (сектор F);5;2021;70505;Димитровград;3;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3426;IND02M08;Број активних привредних друштава по NACE Rev.2  (сектор G);5;2021;70505;Димитровград;41;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3427;IND02M09;Број активних привредних друштава по NACE Rev.2  (сектор H);5;2021;70505;Димитровград;22;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3428;IND02M10;Број активних привредних друштава по NACE Rev.2  (сектор I);5;2021;70505;Димитровград;6;6/8/2021 3:37:48 PM;6/8/2021 3:37:48 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
